cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval
KIDNEY intercalated cells,34,25,11,KIDNEY - cells in tubules,68,0.00049975,0.036981509,KIDNEY - cells in tubules,68,0.00049975,0.036981509
KIDNEY mesangial cells,33.75,57,24,KIDNEY - cells in glomeruli,33.75,0.00049975,0.037981009,KIDNEY - cells in glomeruli,33.75,0.00049975,0.037981009
BRAIN trigeminal neurons,33.75,45,17.66666667,CEREBRAL CORTEX - neuropil,37.5,0.017491254,1,CEREBRAL CORTEX - neuropil,37.5,0.017491254,1
EMBRYO trophoblast cells,33.17,31,16,PLACENTA - trophoblastic cells,53.5,0.00049975,0.042978511,tissue not found,NA,NA,NA
BRAIN neural stem/precursor cells,33,57,18.83333333,CEREBRAL CORTEX - neuronal cells,33,0.637181409,1,CEREBRAL CORTEX - neuronal cells,33,0.637181409,1
LUNG pulmonary alveolar type ii cells,32.955,39,26.83333333,LUNG - pneumocytes,42.25,0.00049975,0.036981509,LUNG - pneumocytes,42.25,0.00049975,0.036981509
LIVER hepatic stellate cells,32.625,45,17.66666667,SMOOTH MUSCLE - smooth muscle cells,36.25,0.00149925,0.110944528,LIVER - hepatocytes,11.75,0.391804098,1
GI TRACT microfold cells,30.15,30,19,GALLBLADDER - glandular cells,50.25,0.143928036,1,DUODENUM - glandular cells,34.25,1,1
BRAIN pyramidal cells,28.875,35,20,HIPPOCAMPUS - neuronal cells,41.25,0.00049975,0.04097951,HIPPOCAMPUS - neuronal cells,41.25,0.00049975,0.04097951
REPRODUCTIVE luteal cells,28.35,27,10,ADRENAL GLAND - glandular cells,52.5,0.04047976,1,OVARY - ovarian stroma cells,20,1,1
BRAIN astrocytes,28.25,63,35,CEREBRAL CORTEX - glial cells,28.25,0.0009995,0.084957521,CEREBRAL CORTEX - glial cells,28.25,0.0009995,0.084957521
LUNG ciliated cells,28.2,15,7.833333333,BRONCHUS - respiratory epithelial cells,94,0.00049975,0.036981509,LUNG - macrophages,3,1,1
GI TRACT foveolar cells,28.14,21,18,STOMACH - glandular cells,67,0.00049975,0.036981509,SMALL INTESTINE - glandular cells,35,0.621189405,1
BRAIN immature neurons,27.93,38,14,CEREBELLUM - cells in granular layer,36.75,0.00049975,0.03898051,CEREBELLUM - cells in granular layer,36.75,0.00049975,0.03898051
BRAIN bergmann glia,27.88,41,23,CEREBRAL CORTEX - neuropil,34,0.00049975,0.036981509,CEREBRAL CORTEX - neuropil,34,0.00049975,0.036981509
BRAIN pinealocytes,27.84,24,10.66666667,RETINA - cells in photoreceptor layer ,58,0.430284858,1,CAUDATE - neuronal cells,4,0.613193403,1
IMMUNE SYSTEM mast cells,27.5,142,49,BONE MARROW - hematopoietic cells,27.5,0.00049975,0.03898051,BONE MARROW - hematopoietic cells,27.5,0.00049975,0.03898051
EYE mã¼ller cells,27.5,50,28,STOMACH - glandular cells,27.5,0.411794103,1,RETINA - cells in inner nuclear layer ,6,0.066466767,1
SKIN langerhans cells,27.3,26,17,TONSIL - non-germinal center cells,52.5,0.00049975,0.036981509,SKIN - Langerhans,51.5,0.00049975,0.036981509
IMMUNE SYSTEM natural killer t cells,27.255,23,14,TONSIL - non-germinal center cells,59.25,0.00049975,0.036981509,TONSIL - non-germinal center cells,59.25,0.00049975,0.036981509
LUNG airway goblet cells,27.25,25,15,STOMACH - glandular cells,54.5,0.00049975,0.036981509,LUNG - pneumocytes,11.5,1,1
SMOOTH MUSCLE myoepithelial cells,26.26,26,20.66666667,BREAST - myoepithelial cells,50.5,0.00049975,0.037481259,SMOOTH MUSCLE - smooth muscle cells,30,0.00049975,0.037481259
BRAIN schwann cells,26.23,43,25.66666667,CAUDATE - glial cells,30.5,0.100449775,1,CAUDATE - glial cells,30.5,0.100449775,1
LUNG pulmonary alveolar type i cells,26.01,34,15,LUNG - pneumocytes,38.25,0.060969515,1,LUNG - pneumocytes,38.25,0.060969515,1
CONNECTIVE TISSUE chondrocytes,26,51,23.5,TONSIL - squamous epithelial cells,26,1,1,SOFT TISSUE - chondrocytes,22,0.0009995,0.086956522
CONNECTIVE TISSUE adipocytes,25.5,116,41,PLACENTA - trophoblastic cells,25.5,0.027986007,1,ADIPOSE TISSUE - adipocytes,24.25,0.00049975,0.04197901
CONNECTIVE TISSUE adipocyte progenitor cells,25.3,23,5,PLACENTA - trophoblastic cells,55,0.117941029,1,ADIPOSE TISSUE - adipocytes,15,1,1
GI TRACT tuft cells,25.08,33,16.83333333,DUODENUM - glandular cells,38,0.017491254,1,DUODENUM - glandular cells,38,0.017491254,1
BRAIN neuroendocrine cells,24.3,27,10,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.04097951,CEREBRAL CORTEX - neuronal cells,45,0.00049975,0.04097951
BRAIN neuroblasts,23.5,50,19,DUODENUM - glandular cells,23.5,1,1,CEREBRAL CORTEX - neuropil,22.75,0.103448276,1
THYMUS thymocytes,23.32,22,16,LYMPH NODE - non-germinal center cells,53,0.00049975,0.037481259,THYMUS - cortical cells,3,NA,NA
SKIN merkel cells,23.2,16,9,SMALL INTESTINE - glandular cells,72.5,0.102448776,1,SKIN - epidermal cells,22,1,1
PANCREAS gamma (pp) cells,21.6,27,10,PANCREAS - islets of Langerhans,40,0.002498751,0.202398801,PANCREAS - islets of Langerhans,40,0.002498751,0.202398801
BRAIN choroid plexus cells,21.21,21,7,GALLBLADDER - glandular cells,50.5,0.173413293,1,CEREBRAL CORTEX - neuropil,32.5,0.383808096,1
IMMUNE SYSTEM myeloid-derived suppressor cells,21,15,10,BONE MARROW - hematopoietic cells,70,0.002998501,0.221889055,BONE MARROW - hematopoietic cells,70,0.002998501,0.221889055
LUNG alveolar macrophages,20.7,23,11,LUNG - macrophages,45,0.011994003,1,LUNG - macrophages,45,0.011994003,1
LIVER hepatoblasts,19.55,17,10,KIDNEY - cells in tubules,57.5,1.1,1.1,LIVER - hepatocytes,32.5,1.1,1.1
BRAIN oligodendrocyte progenitor cells,18.225,27,14,CEREBRAL CORTEX - neuropil,33.75,0.00149925,0.110944528,CEREBRAL CORTEX - neuropil,33.75,0.00149925,0.110944528
BRAIN tanycytes,17.5,25,10,CEREBRAL CORTEX - neuronal cells,35,0.031484258,1,CEREBRAL CORTEX - neuronal cells,35,0.031484258,1
NA taste receptor cells,17.4,20,7,DUODENUM - glandular cells,43.5,0.32133933,1,tissue not found,NA,NA,NA
THYROID follicular cells,17.36,14,8,THYROID GLAND - glandular cells,62,0.00049975,0.036981509,THYROID GLAND - glandular cells,62,0.00049975,0.036981509
REPRODUCTIVE germ cells,17,143,69.66666667,BRONCHUS - respiratory epithelial cells,17,0.00049975,0.03998001,OVARY - follicle cells,2.25,0.003998001,0.303848076
LUNG clara cells,16.94,22,13,BRONCHUS - respiratory epithelial cells,38.5,0.206396802,1,LUNG - pneumocytes,34.25,0.00049975,0.036981509
ADRENAL GLANDS chromaffin cells,16.125,25,11.33333333,ADRENAL GLAND - glandular cells,32.25,0.006496752,0.51974013,ADRENAL GLAND - glandular cells,32.25,0.006496752,0.51974013
IMMUNE SYSTEM red pulp macrophages,16.08,12,3,LUNG - macrophages,67,0.147926037,1,BONE MARROW - hematopoietic cells,49.5,0.03998001,1
NA glomus cells,15.96,28,12.66666667,COLON - peripheral nerve/ganglion,28.5,0.108945527,1,tissue not found,NA,NA,NA
BRAIN satellite glial cells,15.6,24,10,CAUDATE - glial cells,32.5,0.00049975,0.03998001,CAUDATE - glial cells,32.5,0.00049975,0.03998001
REPRODUCTIVE granulosa cells,14.96,16,8.5,PLACENTA - trophoblastic cells,46.75,0.00149925,0.116941529,OVARY - follicle cells,16.5,0.016991504,1
GI TRACT crypt cells,14.72,16,7,SMALL INTESTINE - glandular cells,46,1.1,1.1,SMALL INTESTINE - glandular cells,46,1.1,1.1
SMOOTH MUSCLE myofibroblasts,14.58,9,8,SMOOTH MUSCLE - smooth muscle cells,81,0.0009995,0.072963518,SMOOTH MUSCLE - smooth muscle cells,81,0.0009995,0.072963518
REPRODUCTIVE peritubular myoid cells,14.5,25,13,SMOOTH MUSCLE - smooth muscle cells,29,0.011994003,0.887556222,OVARY - ovarian stroma cells,6,0.031484258,1
HEART MUSCLE cardiac stem and precursor cells,14.22,18,7,HEART MUSCLE - myocytes,39.5,0.046476762,1,HEART MUSCLE - myocytes,39.5,0.046476762,1
PLACENTA undefined placental cells,14.04,12,6,PLACENTA - trophoblastic cells,58.5,0.006496752,0.48075962,PLACENTA - trophoblastic cells,58.5,0.006496752,0.48075962
GI TRACT enteric neurons,14,16,4,CEREBELLUM - Purkinje cells,43.75,1,1,COLON - peripheral nerve/ganglion,18.75,1,1
VASCULATURE pericytes,13.8,10,4,ENDOMETRIUM - glandular cells,69,0.0009995,0.072963518,tissue not found,NA,NA,NA
GI TRACT enteric glia cells,13.6,17,9.666666667,COLON - peripheral nerve/ganglion,40,1,1,COLON - peripheral nerve/ganglion,40,1,1
IMMUNE SYSTEM nuocytes,13.5,12,4,URINARY BLADDER - urothelial cells,56.25,0.072463768,1,LYMPH NODE - non-germinal center cells,25,0.235382309,1
URINARY BLADDER urothelial cells,12.76,11,6,URINARY BLADDER - urothelial cells,58,0.00049975,0.036981509,URINARY BLADDER - urothelial cells,58,0.00049975,0.036981509
NA pluripotent stem cells,12.6,20,11,TONSIL - non-germinal center cells,31.5,1,1,tissue not found,NA,NA,NA
GI TRACT gastric chief cells,12,10,5,PANCREAS - exocrine glandular cells,60,0.066466767,1,DUODENUM - glandular cells,50,1,1
IMMUNE SYSTEM t regulatory cells,11.69,14,3,LYMPH NODE - non-germinal center cells,41.75,0.006996502,0.510744628,LYMPH NODE - non-germinal center cells,41.75,0.006996502,0.510744628
IMMUNE SYSTEM basophils,11.6,20,6.833333333,CEREBELLUM - cells in molecular layer,29,1,1,TONSIL - squamous epithelial cells,10.5,1,1
BRAIN dopaminergic neurons,11.55,21,6.666666667,CEREBELLUM - Purkinje cells,27.5,0.017491254,1,CEREBELLUM - Purkinje cells,27.5,0.017491254,1
BRAIN gabaergic neurons,11.25,15,10,CEREBELLUM - Purkinje cells,37.5,0.001999,0.163918041,CEREBELLUM - Purkinje cells,37.5,0.001999,0.163918041
BRAIN adrenergic neurons,10.72,8,3.166666667,ADRENAL GLAND - medullary cells,67,0.022988506,1,CAUDATE - neuronal projections,17,1,1
VASCULATURE endothelial cells (blood brain barrier),10.56,16,6,SEMINAL VESICLE - glandular cells,33,1,1,CEREBRAL CORTEX - endothelial cells,21.25,1,1
