cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval,,,15 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,20 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,25 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval
KIDNEY juxtaglomerular cells,9,6,3.5,SMOOTH MUSCLE - smooth muscle cells,75,0.00149925,0.113943028,KIDNEY - cells in glomeruli,6.25,0.074462769,1,,,,0.00149925,0.113943028,0.074462769,1,,,,0.0009995,0.075962019,0.129435282,1,,,,0.003498251,0.269365317,0.210894553,1
SKIN keratinocytes,56.4,48,32,SKIN - epidermal cells,58.75,0.00049975,0.03898051,SKIN - epidermal cells,58.75,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051
KIDNEY kidney progenitor cells,9.625,7,4,EPIDIDYMIS - glandular cells,68.75,0.003998001,0.295852074,KIDNEY - cells in tubules,37.5,0.217891054,1,,,,0.003998001,0.295852074,0.217891054,1,,,,0.007496252,0.554722639,0.303348326,1,,,,0.003998001,0.295852074,0.156421789,1
LIVER kupffer cells,47.475,45,17.83333333,LUNG - macrophages,52.75,0.00049975,0.036981509,LIVER - hepatocytes,10.5,1,1,,,,0.00049975,0.036981509,1,1,,,,0.00049975,0.036981509,1,1,,,,0.00049975,0.036981509,0.711144428,1
SKIN langerhans cells,27.3,26,17,TONSIL - non-germinal center cells,52.5,0.0009995,0.070964518,SKIN - Langerhans,51.5,0.00049975,0.036981509,,,,0.0009995,0.070964518,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
REPRODUCTIVE leydig cells,36.75,54,16,ADRENAL GLAND - glandular cells,36.75,0.00049975,0.044977511,OVARY - follicle cells,4.5,0.374312844,1,,,,0.00049975,0.044977511,0.374312844,1,,,,0.001999,0.181909045,0.168915542,1,,,,0.009495252,0.864067966,0.610694653,1
KIDNEY loop of henle cells,45,53,17,KIDNEY - cells in tubules,45,0.00049975,0.036981509,KIDNEY - cells in tubules,45,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.001999,0.147926037,0.001999,0.147926037,,,,0.007996002,0.591704148,0.007996002,0.591704148
MAMMARY GLAND luminal epithelial cells,53.04,48,30.33333333,NASOPHARYNX - respiratory epithelial cells,55.25,1,1,BREAST - glandular cells,38.75,0.001999,0.145927036,,,,1,1,0.001999,0.145927036,,,,0.003498251,0.24137931,0.00049975,0.036981509,,,,0.017491254,1,0.00049975,0.036981509
REPRODUCTIVE luteal cells,28.35,27,10,ADRENAL GLAND - glandular cells,52.5,0.042978511,1,OVARY - ovarian stroma cells,20,1,1,,,,0.042978511,1,1,1,,,,0.021489255,1,1,1,,,,0.122938531,1,1,1
IMMUNE SYSTEM macrophages,49.5,128,54.5,BONE MARROW - hematopoietic cells,49.5,0.00049975,0.036981509,BONE MARROW - hematopoietic cells,49.5,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
MAMMARY GLAND mammary epithelial cells,38.7,43,28,SALIVARY GLAND - glandular cells,45,0.253873063,1,BREAST - glandular cells,39,0.009495252,0.712143928,,,,0.253873063,1,0.009495252,0.712143928,,,,0.021989005,1,0.007996002,0.591704148,,,,0.00149925,0.110944528,0.005497251,0.40129935
IMMUNE SYSTEM mast cells,27.5,142,49,BONE MARROW - hematopoietic cells,27.5,0.00049975,0.03898051,BONE MARROW - hematopoietic cells,27.5,0.00049975,0.03898051,,,,0.00049975,0.03898051,0.00049975,0.03898051,,,,0.0009995,0.08095952,0.0009995,0.08095952,,,,0.00049975,0.04147926,0.00049975,0.04147926
IMMUNE SYSTEM megakaryocytes,44.88,48,27.83333333,BONE MARROW - hematopoietic cells,46.75,0.00049975,0.04147926,BONE MARROW - hematopoietic cells,46.75,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926,,,,0.00049975,0.04147926,0.00049975,0.04147926
